Date,Service,Region,ResourceGroup,Cost,Currency,Usage,Unit
2025-03-09 18:43:39.061546,EC2,us-east-1,rg-EC2-us-east-1,307.1605950256884,USD,9185,Various
2025-03-09 18:43:39.061546,EC2,us-west-2,rg-EC2-us-west-2,452.3401511829163,USD,8382,Various
2025-03-09 18:43:39.061546,EC2,eu-central-1,rg-EC2-eu-central-1,98.66514682300416,USD,6332,Various
2025-03-09 18:43:39.061546,S3,us-east-1,rg-S3-us-east-1,265.55565797148085,USD,9712,Various
2025-03-09 18:43:39.061546,S3,us-west-2,rg-S3-us-west-2,255.37474718238025,USD,10225,Various
2025-03-09 18:43:39.061546,S3,eu-central-1,rg-S3-eu-central-1,440.5430954518545,USD,8733,Various
2025-03-09 18:43:39.061546,RDS,us-east-1,rg-RDS-us-east-1,290.87455921563014,USD,6749,Various
2025-03-09 18:43:39.061546,RDS,us-west-2,rg-RDS-us-west-2,391.19792817427987,USD,8701,Various
2025-03-09 18:43:39.061546,RDS,eu-central-1,rg-RDS-eu-central-1,211.5221699431478,USD,4404,Various
2025-03-09 18:43:39.061546,Lambda,us-east-1,rg-Lambda-us-east-1,155.12570965395267,USD,1805,Various
2025-03-09 18:43:39.061546,Lambda,us-west-2,rg-Lambda-us-west-2,271.6512657781433,USD,5308,Various
2025-03-09 18:43:39.061546,Lambda,eu-central-1,rg-Lambda-eu-central-1,509.045310297151,USD,3306,Various
2025-03-10 18:43:39.061546,EC2,us-east-1,rg-EC2-us-east-1,461.0376954609146,USD,2705,Various
2025-03-10 18:43:39.061546,EC2,us-west-2,rg-EC2-us-west-2,339.033554005064,USD,1464,Various
2025-03-10 18:43:39.061546,EC2,eu-central-1,rg-EC2-eu-central-1,318.2266205937769,USD,3501,Various
2025-03-10 18:43:39.061546,S3,us-east-1,rg-S3-us-east-1,139.8311769881392,USD,1758,Various
2025-03-10 18:43:39.061546,S3,us-west-2,rg-S3-us-west-2,350.33893494552683,USD,4210,Various
2025-03-10 18:43:39.061546,S3,eu-central-1,rg-S3-eu-central-1,320.5410669482066,USD,8362,Various
2025-03-10 18:43:39.061546,RDS,us-east-1,rg-RDS-us-east-1,887.8615124108165,USD,25908,Various
2025-03-10 18:43:39.061546,RDS,us-west-2,rg-RDS-us-west-2,436.2202107282096,USD,9926,Various
2025-03-10 18:43:39.061546,RDS,eu-central-1,rg-RDS-eu-central-1,298.16164409242924,USD,4352,Various
2025-03-10 18:43:39.061546,Lambda,us-east-1,rg-Lambda-us-east-1,435.7880666912558,USD,9911,Various
2025-03-10 18:43:39.061546,Lambda,us-west-2,rg-Lambda-us-west-2,474.21413768197294,USD,5015,Various
2025-03-10 18:43:39.061546,Lambda,eu-central-1,rg-Lambda-eu-central-1,85.156507232592,USD,4277,Various
2025-03-11 18:43:39.061546,EC2,us-east-1,rg-EC2-us-east-1,257.4770213000016,USD,8425,Various
2025-03-11 18:43:39.061546,EC2,us-west-2,rg-EC2-us-west-2,257.35669809663057,USD,1567,Various
2025-03-11 18:43:39.061546,EC2,eu-central-1,rg-EC2-eu-central-1,380.1198805334178,USD,5182,Various
2025-03-11 18:43:39.061546,S3,us-east-1,rg-S3-us-east-1,154.56339842055678,USD,7988,Various
2025-03-11 18:43:39.061546,S3,us-west-2,rg-S3-us-west-2,365.0320526583896,USD,5444,Various
2025-03-11 18:43:39.061546,S3,eu-central-1,rg-S3-eu-central-1,514.5902306235603,USD,7105,Various
2025-03-11 18:43:39.061546,RDS,us-east-1,rg-RDS-us-east-1,313.8000844672237,USD,3789,Various
2025-03-11 18:43:39.061546,RDS,us-west-2,rg-RDS-us-west-2,128.74357628483136,USD,2366,Various
2025-03-11 18:43:39.061546,RDS,eu-central-1,rg-RDS-eu-central-1,417.3287259189303,USD,8222,Various
2025-03-11 18:43:39.061546,Lambda,us-east-1,rg-Lambda-us-east-1,369.7208482965313,USD,44830,Various
2025-03-11 18:43:39.061546,Lambda,us-west-2,rg-Lambda-us-west-2,467.2461271180078,USD,2791,Various
2025-03-11 18:43:39.061546,Lambda,eu-central-1,rg-Lambda-eu-central-1,303.9941026180553,USD,3584,Various
2025-03-12 18:43:39.061546,EC2,us-east-1,rg-EC2-us-east-1,568.9474574802547,USD,5740,Various
2025-03-12 18:43:39.061546,EC2,us-west-2,rg-EC2-us-west-2,338.0926851162987,USD,10183,Various
2025-03-12 18:43:39.061546,EC2,eu-central-1,rg-EC2-eu-central-1,321.9938779355015,USD,8432,Various
2025-03-12 18:43:39.061546,S3,us-east-1,rg-S3-us-east-1,545.2221726361848,USD,8288,Various
2025-03-12 18:43:39.061546,S3,us-west-2,rg-S3-us-west-2,231.97870509989568,USD,3706,Various
2025-03-12 18:43:39.061546,S3,eu-central-1,rg-S3-eu-central-1,265.7763234277131,USD,6446,Various
2025-03-12 18:43:39.061546,RDS,us-east-1,rg-RDS-us-east-1,116.13526644196436,USD,8038,Various
2025-03-12 18:43:39.061546,RDS,us-west-2,rg-RDS-us-west-2,360.1395356193677,USD,7820,Various
2025-03-12 18:43:39.061546,RDS,eu-central-1,rg-RDS-eu-central-1,420.07097503493014,USD,5084,Various
2025-03-12 18:43:39.061546,Lambda,us-east-1,rg-Lambda-us-east-1,236.66072757208596,USD,9135,Various
2025-03-12 18:43:39.061546,Lambda,us-west-2,rg-Lambda-us-west-2,216.38145270699368,USD,7555,Various
2025-03-12 18:43:39.061546,Lambda,eu-central-1,rg-Lambda-eu-central-1,246.9306709387473,USD,5696,Various
2025-03-13 18:43:39.061546,EC2,us-east-1,rg-EC2-us-east-1,389.98816922024525,USD,3234,Various
2025-03-13 18:43:39.061546,EC2,us-west-2,rg-EC2-us-west-2,234.11584549845324,USD,2133,Various
2025-03-13 18:43:39.061546,EC2,eu-central-1,rg-EC2-eu-central-1,572.7414514552115,USD,7109,Various
2025-03-13 18:43:39.061546,S3,us-east-1,rg-S3-us-east-1,389.09485457947574,USD,11196,Various
